,Reactant,Charge R,Multiplicity R,Product,Charge P,Multiplicity P,X,R1,R2,R3,R4,R5,Potential,canonSMILES
1026,CCC1=CC=C(C([H])(C2=CC=CC=C2)C(C3=CC=CC=C3)OCOC)C=C1,0,1,CCC1=CC=C(C([H])(C2=CC=CC=C2)C(C3=CC=CC=C3)OCOC)C=C1,1,2,O,COC,C1=CC=CC=C1,CC,[H],C1=CC=CC=C1,1.92208414,CCc1ccc(C(c2ccccc2)C(OCOC)c2ccccc2)cc1
1029,C(#N)C1=CC=C(C(C#N)(C2=CC=CC=C2)C(C)OC3=CC=CC=C3)C=C1,0,1,C(#N)C1=CC=C(C(C#N)(C2=CC=CC=C2)C(C)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C,C(#N),C#N,C1=CC=CC=C1,1.92298207,CC(Oc1ccccc1)C(C#N)(c1ccccc1)c1ccc(C#N)cc1
1030,CCC1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C([H])OCOC)C=C1,0,1,CCC1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C([H])OCOC)C=C1,1,2,O,COC,[H],CC,C1=CC=CC=C1,C1=CC=CC=C1,1.92303649,CCc1ccc(C(COCOC)(c2ccccc2)c2ccccc2)cc1
1031,CCC1=CC=C(C(C)(C#N)C(OC)OC2=CC=CC=C2)C=C1,0,1,CCC1=CC=C(C(C)(C#N)C(OC)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,OC,CC,C,C#N,1.92309091,CCc1ccc(C(C)(C#N)C(OC)Oc2ccccc2)cc1
1035,C1=CC=CC=C1C2=CC=C(C([H])(C#N)C(Br)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C([H])(C#N)C(Br)OC)C=C2,1,2,O,C,Br,C1=CC=CC=C1,[H],C#N,1.9274173,COC(Br)C(C#N)c1ccc(-c2ccccc2)cc1
1036,C1=CC=CC=C1C2=CC=C(C(C)(C#N)C(Br)OC3=CC=CC=C3)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)(C#N)C(Br)OC3=CC=CC=C3)C=C2,1,2,O,C1=CC=CC=C1,Br,C1=CC=CC=C1,C,C#N,1.92785266,CC(C#N)(c1ccc(-c2ccccc2)cc1)C(Br)Oc1ccccc1
1038,[H]C1=CC=C(C(C#N)([H])C([H])OC2=CC=CC=C2)C=C1,0,1,[H]C1=CC=C(C(C#N)([H])C([H])OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,[H],[H],C#N,[H],1.93002946,N#CC(COc1ccccc1)c1ccccc1
1044,C(OC)(=O)C1=CC=C(C(C#N)(C)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,0,1,C(OC)(=O)C1=CC=C(C(C#N)(C)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C(OC)(=O),C#N,C,1.93348513,COC(=O)c1ccc(C(C)(C#N)C(Oc2ccccc2)c2ccccc2)cc1
1045,C1=CC=CC=C1C2=CC=C(C(C#N)(C3=CC=CC=C3)C(C#N)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C#N)(C3=CC=CC=C3)C(C#N)OCOC)C=C2,1,2,O,COC,C#N,C1=CC=CC=C1,C#N,C1=CC=CC=C1,1.93351234,COCOC(C#N)C(C#N)(c1ccccc1)c1ccc(-c2ccccc2)cc1
1047,CCC1=CC=C(C(C#N)([H])C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,0,1,CCC1=CC=C(C(C#N)([H])C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,CC,C#N,[H],1.93411096,CCc1ccc(C(C#N)C(Oc2ccccc2)c2ccccc2)cc1
1049,[H]C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C)OC)C=C1,0,1,[H]C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C)OC)C=C1,1,2,O,C,C,[H],C1=CC=CC=C1,C1=CC=CC=C1,1.9353082,COC(C)C(c1ccccc1)(c1ccccc1)c1ccccc1
1050,CCC1=CC=C(C(C#N)([H])C(OC)OC2=CC=CC=C2)C=C1,0,1,CCC1=CC=C(C(C#N)([H])C(OC)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,OC,CC,C#N,[H],1.93634218,CCc1ccc(C(C#N)C(OC)Oc2ccccc2)cc1
1053,O(C)C1=CC=C(C(C#N)([H])C(Br)OCOC)C=C1,0,1,O(C)C1=CC=C(C(C#N)([H])C(Br)OCOC)C=C1,1,2,O,COC,Br,O(C),C#N,[H],1.93645102,COCOC(Br)C(C#N)c1ccc(OC)cc1
1054,[H]C1=CC=C(C(C2=CC=CC=C2)(C#N)C([H])OC3=CC=CC=C3)C=C1,0,1,[H]C1=CC=C(C(C2=CC=CC=C2)(C#N)C([H])OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,[H],[H],C1=CC=CC=C1,C#N,1.93669591,N#CC(COc1ccccc1)(c1ccccc1)c1ccccc1
1056,CCC1=CC=C(C(C#N)(C2=CC=CC=C2)C([H])OC3=CC=CC=C3)C=C1,0,1,CCC1=CC=C(C(C#N)(C2=CC=CC=C2)C([H])OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,[H],CC,C#N,C1=CC=CC=C1,1.93794757,CCc1ccc(C(C#N)(COc2ccccc2)c2ccccc2)cc1
1057,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C#N)C(Br)OC4=CC=CC=C4)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C3=CC=CC=C3)(C#N)C(Br)OC4=CC=CC=C4)C=C2,1,2,O,C1=CC=CC=C1,Br,C1=CC=CC=C1,C1=CC=CC=C1,C#N,1.93805641,N#CC(c1ccccc1)(c1ccc(-c2ccccc2)cc1)C(Br)Oc1ccccc1
1058,CCC1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OC)C=C1,0,1,CCC1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OC)C=C1,1,2,O,C,C1=CC=CC=C1,CC,C1=CC=CC=C1,C1=CC=CC=C1,1.93868224,CCc1ccc(C(c2ccccc2)(c2ccccc2)C(OC)c2ccccc2)cc1
1060,CCC1=CC=C(C([H])(C#N)C([H])OC2=CC=CC=C2)C=C1,0,1,CCC1=CC=C(C([H])(C#N)C([H])OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,[H],CC,[H],C#N,1.94036926,CCc1ccc(C(C#N)COc2ccccc2)cc1
1066,O(C)C1=CC=C(C(C)(C#N)C(C#N)OC)C=C1,0,1,O(C)C1=CC=C(C(C)(C#N)C(C#N)OC)C=C1,1,2,O,C,C#N,O(C),C,C#N,1.94104951,COc1ccc(C(C)(C#N)C(C#N)OC)cc1
1067,[H]C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OC)C=C1,0,1,[H]C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OC)C=C1,1,2,O,C,C1=CC=CC=C1,[H],C1=CC=CC=C1,C1=CC=CC=C1,1.94140324,COC(c1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccccc1
1068,[N+](=O)([O-])C1=CC=C(C(C2=CC=CC=C2)(C#N)C(C)OC3=CC=CC=C3)C=C1,0,1,[N+](=O)([O-])C1=CC=C(C(C2=CC=CC=C2)(C#N)C(C)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C,[N+](=O)([O-]),C1=CC=CC=C1,C#N,1.94148487,CC(Oc1ccccc1)C(C#N)(c1ccccc1)c1ccc([N+](=O)[O-])cc1
1070,C(#N)C1=CC=C(C(C#N)(C)C([H])OC2=CC=CC=C2)C=C1,0,1,C(#N)C1=CC=C(C(C#N)(C)C([H])OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,[H],C(#N),C#N,C,1.9415665000000002,CC(C#N)(COc1ccccc1)c1ccc(C#N)cc1
1071,CCC1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C)OCOC)C=C1,0,1,CCC1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C)OCOC)C=C1,1,2,O,COC,C,CC,C1=CC=CC=C1,C1=CC=CC=C1,1.94159371,CCc1ccc(C(c2ccccc2)(c2ccccc2)C(C)OCOC)cc1
1072,C1=CC=CC=C1C2=CC=C(C(C#N)(C)C(C#N)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C#N)(C)C(C#N)OC)C=C2,1,2,O,C,C#N,C1=CC=CC=C1,C#N,C,1.94192023,COC(C#N)C(C)(C#N)c1ccc(-c2ccccc2)cc1
1073,O(C)C1=CC=C(C(C)(C#N)C(C#N)OC2=CC=CC=C2)C=C1,0,1,O(C)C1=CC=C(C(C)(C#N)C(C#N)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,C#N,O(C),C,C#N,1.94300863,COc1ccc(C(C)(C#N)C(C#N)Oc2ccccc2)cc1
1074,C1=CC=CC=C1C2=CC=C(C(C#N)(C3=CC=CC=C3)C(Br)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C#N)(C3=CC=CC=C3)C(Br)OC)C=C2,1,2,O,C,Br,C1=CC=CC=C1,C#N,C1=CC=CC=C1,1.94330794,COC(Br)C(C#N)(c1ccccc1)c1ccc(-c2ccccc2)cc1
1075,O(C)C1=CC=C(C(C#N)([H])C(Br)OC)C=C1,0,1,O(C)C1=CC=C(C(C#N)([H])C(Br)OC)C=C1,1,2,O,C,Br,O(C),C#N,[H],1.94344399,COc1ccc(C(C#N)C(Br)OC)cc1
1076,CCC1=CC=C(C(C)(C)C(C)OCOC)C=C1,0,1,CCC1=CC=C(C(C)(C)C(C)OCOC)C=C1,1,2,O,COC,C,CC,C,C,1.9437433000000002,CCc1ccc(C(C)(C)C(C)OCOC)cc1
1077,C1=CC=CC=C1C2=CC=C(C(C#N)(C)C(Br)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C#N)(C)C(Br)OC)C=C2,1,2,O,C,Br,C1=CC=CC=C1,C#N,C,1.94396098,COC(Br)C(C)(C#N)c1ccc(-c2ccccc2)cc1
1079,[H]C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OCOC)C=C1,0,1,[H]C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(C4=CC=CC=C4)OCOC)C=C1,1,2,O,COC,C1=CC=CC=C1,[H],C1=CC=CC=C1,C1=CC=CC=C1,1.94532148,COCOC(c1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccccc1
1080,[N+](=O)([O-])C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(OC)OC4=CC=CC=C4)C=C1,0,1,[N+](=O)([O-])C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(OC)OC4=CC=CC=C4)C=C1,1,2,O,C1=CC=CC=C1,OC,[N+](=O)([O-]),C1=CC=CC=C1,C1=CC=CC=C1,1.94545753,COC(Oc1ccccc1)C(c1ccccc1)(c1ccccc1)c1ccc([N+](=O)[O-])cc1
1082,CCC1=CC=C(C([H])(C2=CC=CC=C2)C([H])OCOC)C=C1,0,1,CCC1=CC=C(C([H])(C2=CC=CC=C2)C([H])OCOC)C=C1,1,2,O,COC,[H],CC,[H],C1=CC=CC=C1,1.94583847,CCc1ccc(C(COCOC)c2ccccc2)cc1
1083,C(OC)(=O)C1=CC=C(C([H])(C#N)C([H])OC2=CC=CC=C2)C=C1,0,1,C(OC)(=O)C1=CC=C(C([H])(C#N)C([H])OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,[H],C(OC)(=O),[H],C#N,1.94613778,COC(=O)c1ccc(C(C#N)COc2ccccc2)cc1
1086,[H]C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(OC)OCOC)C=C1,0,1,[H]C1=CC=C(C(C2=CC=CC=C2)(C3=CC=CC=C3)C(OC)OCOC)C=C1,1,2,O,COC,OC,[H],C1=CC=CC=C1,C1=CC=CC=C1,1.94714455,COCOC(OC)C(c1ccccc1)(c1ccccc1)c1ccccc1
1087,CCC1=CC=C(C(C2=CC=CC=C2)(C#N)C(OC)OC3=CC=CC=C3)C=C1,0,1,CCC1=CC=C(C(C2=CC=CC=C2)(C#N)C(OC)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,OC,CC,C1=CC=CC=C1,C#N,1.94763433,CCc1ccc(C(C#N)(c2ccccc2)C(OC)Oc2ccccc2)cc1
1088,CCC1=CC=C(C([H])(C)C(C2=CC=CC=C2)OCOC)C=C1,0,1,CCC1=CC=C(C([H])(C)C(C2=CC=CC=C2)OCOC)C=C1,1,2,O,COC,C1=CC=CC=C1,CC,[H],C,1.94839621,CCc1ccc(C(C)C(OCOC)c2ccccc2)cc1
1089,CCC1=CC=C(C(C)(C)C(OC)OC)C=C1,0,1,CCC1=CC=C(C(C)(C)C(OC)OC)C=C1,1,2,O,C,OC,CC,C,C,1.94885878,CCc1ccc(C(C)(C)C(OC)OC)cc1
1090,CCC1=CC=C(C(C2=CC=CC=C2)(C#N)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C1,0,1,CCC1=CC=C(C(C2=CC=CC=C2)(C#N)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,CC,C1=CC=CC=C1,C#N,1.94937577,CCc1ccc(C(C#N)(c2ccccc2)C(Oc2ccccc2)c2ccccc2)cc1
1093,C(#N)C1=CC=C(C(C)(C#N)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,0,1,C(#N)C1=CC=C(C(C)(C#N)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C(#N),C,C#N,1.95125326,CC(C#N)(c1ccc(C#N)cc1)C(Oc1ccccc1)c1ccccc1
1095,C(OC)(=O)C1=CC=C(C([H])(C#N)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,0,1,C(OC)(=O)C1=CC=C(C([H])(C#N)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C(OC)(=O),[H],C#N,1.95201514,COC(=O)c1ccc(C(C#N)C(Oc2ccccc2)c2ccccc2)cc1
1102,C1=CC=CC=C1C2=CC=C(C(C#N)(C)C(C#N)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C#N)(C)C(C#N)OCOC)C=C2,1,2,O,COC,C#N,C1=CC=CC=C1,C#N,C,1.95511708,COCOC(C#N)C(C)(C#N)c1ccc(-c2ccccc2)cc1
1103,C(#N)C1=CC=C(C([H])(C#N)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,0,1,C(#N)C1=CC=C(C([H])(C#N)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C(#N),[H],C#N,1.9554436000000002,N#Cc1ccc(C(C#N)C(Oc2ccccc2)c2ccccc2)cc1
1104,[H]C1=CC=C(C(C#N)(C2=CC=CC=C2)C(OC)OC3=CC=CC=C3)C=C1,0,1,[H]C1=CC=C(C(C#N)(C2=CC=CC=C2)C(OC)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,OC,[H],C#N,C1=CC=CC=C1,1.95593338,COC(Oc1ccccc1)C(C#N)(c1ccccc1)c1ccccc1
1106,O(C)C1=CC=C(C(C#N)(C2=CC=CC=C2)C(C#N)OCOC)C=C1,0,1,O(C)C1=CC=C(C(C#N)(C2=CC=CC=C2)C(C#N)OCOC)C=C1,1,2,O,COC,C#N,O(C),C#N,C1=CC=CC=C1,1.95805576,COCOC(C#N)C(C#N)(c1ccccc1)c1ccc(OC)cc1
1107,C1=CC=CC=C1C2=CC=C(C(C#N)([H])C(Br)OCOC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C#N)([H])C(Br)OCOC)C=C2,1,2,O,COC,Br,C1=CC=CC=C1,C#N,[H],1.95827344,COCOC(Br)C(C#N)c1ccc(-c2ccccc2)cc1
1109,CCC1=CC=C(C(C)(C)C(OC)OCOC)C=C1,0,1,CCC1=CC=C(C(C)(C)C(OC)OCOC)C=C1,1,2,O,COC,OC,CC,C,C,1.95985162,CCc1ccc(C(C)(C)C(OC)OCOC)cc1
1111,CCC1=CC=C(C(C2=CC=CC=C2)([H])C(C#N)OC3=CC=CC=C3)C=C1,0,1,CCC1=CC=C(C(C2=CC=CC=C2)([H])C(C#N)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C#N,CC,C1=CC=CC=C1,[H],1.9614298,CCc1ccc(C(c2ccccc2)C(C#N)Oc2ccccc2)cc1
1112,CCC1=CC=C(C([H])([H])C(C)OC)C=C1,0,1,CCC1=CC=C(C([H])([H])C(C)OC)C=C1,1,2,O,C,C,CC,[H],[H],1.9614298,CCc1ccc(CC(C)OC)cc1
1113,CCC1=CC=C(C(C)(C2=CC=CC=C2)C(Br)OCOC)C=C1,0,1,CCC1=CC=C(C(C)(C2=CC=CC=C2)C(Br)OCOC)C=C1,1,2,O,COC,Br,CC,C,C1=CC=CC=C1,1.96145701,CCc1ccc(C(C)(c2ccccc2)C(Br)OCOC)cc1
1115,C(#N)C1=CC=C(C(C)(C#N)C(OC)OC2=CC=CC=C2)C=C1,0,1,C(#N)C1=CC=C(C(C)(C#N)C(OC)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,OC,C(#N),C,C#N,1.96262704,COC(Oc1ccccc1)C(C)(C#N)c1ccc(C#N)cc1
1116,C1=CC=CC=C1C2=CC=C(C(C#N)(C3=CC=CC=C3)C(C#N)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C#N)(C3=CC=CC=C3)C(C#N)OC)C=C2,1,2,O,C,C#N,C1=CC=CC=C1,C#N,C1=CC=CC=C1,1.96347055,COC(C#N)C(C#N)(c1ccccc1)c1ccc(-c2ccccc2)cc1
1117,[N+](=O)([O-])C1=CC=C(C(C#N)(C)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,0,1,[N+](=O)([O-])C1=CC=C(C(C#N)(C)C(C2=CC=CC=C2)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,[N+](=O)([O-]),C#N,C,1.96357939,CC(C#N)(c1ccc([N+](=O)[O-])cc1)C(Oc1ccccc1)c1ccccc1
1118,C(OC)(=O)C1=CC=C(C(C2=CC=CC=C2)(C#N)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C1,0,1,C(OC)(=O)C1=CC=C(C(C2=CC=CC=C2)(C#N)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C(OC)(=O),C1=CC=CC=C1,C#N,1.96374265,COC(=O)c1ccc(C(C#N)(c2ccccc2)C(Oc2ccccc2)c2ccccc2)cc1
1119,O(C)C1=CC=C(C([H])(C#N)C(C#N)OC)C=C1,0,1,O(C)C1=CC=C(C([H])(C#N)C(C#N)OC)C=C1,1,2,O,C,C#N,O(C),[H],C#N,1.96406917,COc1ccc(C(C#N)C(C#N)OC)cc1
1120,C(OC)(=O)C1=CC=C(C(C2=CC=CC=C2)(C#N)C([H])OC3=CC=CC=C3)C=C1,0,1,C(OC)(=O)C1=CC=C(C(C2=CC=CC=C2)(C#N)C([H])OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,[H],C(OC)(=O),C1=CC=CC=C1,C#N,1.96409638,COC(=O)c1ccc(C(C#N)(COc2ccccc2)c2ccccc2)cc1
1121,CCC1=CC=C(C([H])(C)C(OC)OC)C=C1,0,1,CCC1=CC=C(C([H])(C)C(OC)OC)C=C1,1,2,O,C,OC,CC,[H],C,1.96428685,CCc1ccc(C(C)C(OC)OC)cc1
1124,C(#N)C1=CC=C(C(C2=CC=CC=C2)(C#N)C([H])OC3=CC=CC=C3)C=C1,0,1,C(#N)C1=CC=C(C(C2=CC=CC=C2)(C#N)C([H])OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,[H],C(#N),C1=CC=CC=C1,C#N,1.96534804,N#Cc1ccc(C(C#N)(COc2ccccc2)c2ccccc2)cc1
1125,C(OC)(=O)C1=CC=C(C(C#N)([H])C(OC)OC2=CC=CC=C2)C=C1,0,1,C(OC)(=O)C1=CC=C(C(C#N)([H])C(OC)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,OC,C(OC)(=O),C#N,[H],1.96564735,COC(=O)c1ccc(C(C#N)C(OC)Oc2ccccc2)cc1
1126,C(#N)C1=CC=C(C(C#N)(C2=CC=CC=C2)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C1,0,1,C(#N)C1=CC=C(C(C#N)(C2=CC=CC=C2)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,C(#N),C#N,C1=CC=CC=C1,1.96643644,N#Cc1ccc(C(C#N)(c2ccccc2)C(Oc2ccccc2)c2ccccc2)cc1
1128,[N+](=O)([O-])C1=CC=C(C(C)(C#N)C([H])OC2=CC=CC=C2)C=C1,0,1,[N+](=O)([O-])C1=CC=C(C(C)(C#N)C([H])OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,[H],[N+](=O)([O-]),C,C#N,1.96771531,CC(C#N)(COc1ccccc1)c1ccc([N+](=O)[O-])cc1
1133,[N+](=O)([O-])C1=CC=C(C(C)(C#N)C(OC)OC2=CC=CC=C2)C=C1,0,1,[N+](=O)([O-])C1=CC=C(C(C)(C#N)C(OC)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,OC,[N+](=O)([O-]),C,C#N,1.96891255,COC(Oc1ccccc1)C(C)(C#N)c1ccc([N+](=O)[O-])cc1
1135,CCC1=CC=C(C(C2=CC=CC=C2)([H])C(Br)OC3=CC=CC=C3)C=C1,0,1,CCC1=CC=C(C(C2=CC=CC=C2)([H])C(Br)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,Br,CC,C1=CC=CC=C1,[H],1.96926628,CCc1ccc(C(c2ccccc2)C(Br)Oc2ccccc2)cc1
1136,CCC1=CC=C(C([H])(C)C(C)OC)C=C1,0,1,CCC1=CC=C(C([H])(C)C(C)OC)C=C1,1,2,O,C,C,CC,[H],C,1.96948396,CCc1ccc(C(C)C(C)OC)cc1
1139,[H]C1=CC=C(C(C2=CC=CC=C2)(C#N)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C1,0,1,[H]C1=CC=C(C(C2=CC=CC=C2)(C#N)C(C3=CC=CC=C3)OC4=CC=CC=C4)C=C1,1,2,O,C1=CC=CC=C1,C1=CC=CC=C1,[H],C1=CC=CC=C1,C#N,1.9704091000000001,N#CC(c1ccccc1)(c1ccccc1)C(Oc1ccccc1)c1ccccc1
1140,CCC1=CC=C(C([H])([H])C([H])OC)C=C1,0,1,CCC1=CC=C(C([H])([H])C([H])OC)C=C1,1,2,O,C,[H],CC,[H],[H],1.97065399,CCc1ccc(CCOC)cc1
1142,C(#N)C1=CC=C(C([H])(C#N)C([H])OC2=CC=CC=C2)C=C1,0,1,C(#N)C1=CC=C(C([H])(C#N)C([H])OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,[H],C(#N),[H],C#N,1.97125261,N#Cc1ccc(C(C#N)COc2ccccc2)cc1
1143,CCC1=CC=C(C([H])(C2=CC=CC=C2)C([H])OC)C=C1,0,1,CCC1=CC=C(C([H])(C2=CC=CC=C2)C([H])OC)C=C1,1,2,O,C,[H],CC,[H],C1=CC=CC=C1,1.9728580000000002,CCc1ccc(C(COC)c2ccccc2)cc1
1147,C1=CC=CC=C1C2=CC=C(C(C#N)([H])C(C#N)OC)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C#N)([H])C(C#N)OC)C=C2,1,2,O,C,C#N,C1=CC=CC=C1,C#N,[H],1.97397361,COC(C#N)C(C#N)c1ccc(-c2ccccc2)cc1
1148,O(C)C1=CC=C(C(C#N)(C2=CC=CC=C2)C(C#N)OC3=CC=CC=C3)C=C1,0,1,O(C)C1=CC=C(C(C#N)(C2=CC=CC=C2)C(C#N)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,C#N,O(C),C#N,C1=CC=CC=C1,1.9742185,COc1ccc(C(C#N)(c2ccccc2)C(C#N)Oc2ccccc2)cc1
1150,[H]C1=CC=C(C([H])(C#N)C(OC)OC2=CC=CC=C2)C=C1,0,1,[H]C1=CC=C(C([H])(C#N)C(OC)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,OC,[H],[H],C#N,1.97481712,COC(Oc1ccccc1)C(C#N)c1ccccc1
1155,O(C)C1=CC=C(C([H])(C#N)C(Br)OC2=CC=CC=C2)C=C1,0,1,O(C)C1=CC=C(C([H])(C#N)C(Br)OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,Br,O(C),[H],C#N,1.97702113,COc1ccc(C(C#N)C(Br)Oc2ccccc2)cc1
1156,C(OC)(=O)C1=CC=C(C(C2=CC=CC=C2)(C#N)C(OC)OC3=CC=CC=C3)C=C1,0,1,C(OC)(=O)C1=CC=C(C(C2=CC=CC=C2)(C#N)C(OC)OC3=CC=CC=C3)C=C1,1,2,O,C1=CC=CC=C1,OC,C(OC)(=O),C1=CC=CC=C1,C#N,1.97704834,COC(=O)c1ccc(C(C#N)(c2ccccc2)C(OC)Oc2ccccc2)cc1
1157,[N+](=O)([O-])C1=CC=C(C([H])(C#N)C([H])OC2=CC=CC=C2)C=C1,0,1,[N+](=O)([O-])C1=CC=C(C([H])(C#N)C([H])OC2=CC=CC=C2)C=C1,1,2,O,C1=CC=CC=C1,[H],[N+](=O)([O-]),[H],C#N,1.97734765,N#CC(COc1ccccc1)c1ccc([N+](=O)[O-])cc1
1160,C1=CC=CC=C1C2=CC=C(C(C)(C#N)C(C#N)OC3=CC=CC=C3)C=C2,0,1,C1=CC=CC=C1C2=CC=C(C(C)(C#N)C(C#N)OC3=CC=CC=C3)C=C2,1,2,O,C1=CC=CC=C1,C#N,C1=CC=CC=C1,C,C#N,1.97759254,CC(C#N)(c1ccc(-c2ccccc2)cc1)C(C#N)Oc1ccccc1
1162,O(C)C1=CC=C(C(C#N)(C#N)C(C)OCOC)C=C1,0,1,O(C)C1=CC=C(C(C#N)(C#N)C(C)OCOC)C=C1,1,2,O,COC,C,O(C),C#N,C#N,1.97927956,COCOC(C)C(C#N)(C#N)c1ccc(OC)cc1
1163,O(C)C1=CC=C(C([H])(C#N)C(C#N)OCOC)C=C1,0,1,O(C)C1=CC=C(C([H])(C#N)C(C#N)OCOC)C=C1,1,2,O,COC,C#N,O(C),[H],C#N,1.97963329,COCOC(C#N)C(C#N)c1ccc(OC)cc1
1166,CCC1=CC=C(C(C)([H])C(OC)OCOC)C=C1,0,1,CCC1=CC=C(C(C)([H])C(OC)OCOC)C=C1,1,2,O,COC,OC,CC,C,[H],1.98080332,CCc1ccc(C(C)C(OC)OCOC)cc1
